A0,A1,A2,A3,A4,A5,A6,A7,A8,A8,OUTCOME
0.22,0.53,0.49,0.6,0.33,0.49,0.74,0.78,0.88,0.94,PILL
0.22,0.54,0.49,0.61,0.32,0.49,0.74,0.78,0.87,0.91,PILL
0.22,0.53,0.49,0.63,0.32,0.5,0.74,0.79,0.87,0.87,PILL
0.22,0.53,0.49,0.65,0.33,0.52,0.74,0.82,0.91,0.87,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.85,0.97,0.92,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.74,0.86,1.02,0.98,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1.03,1.01,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1.04,1.04,PILL
0.22,0.54,0.49,0.65,0.32,0.54,0.74,0.85,1.03,1.07,PILL
0.22,0.54,0.49,0.63,0.32,0.52,0.74,0.83,1,1.06,PILL
0.22,0.53,0.49,0.61,0.32,0.5,0.74,0.8,0.94,1.02,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.74,0.79,0.9,0.98,PILL
0.22,0.53,0.49,0.6,0.33,0.49,0.74,0.78,0.88,0.94,PILL
0.22,0.54,0.49,0.61,0.32,0.49,0.74,0.78,0.87,0.9,PILL
0.22,0.53,0.49,0.63,0.32,0.5,0.74,0.79,0.87,0.87,PILL
0.22,0.53,0.49,0.65,0.32,0.53,0.74,0.82,0.91,0.87,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.74,0.85,0.98,0.93,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.74,0.86,1.02,0.99,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1.03,1.02,PILL
0.22,0.53,0.49,0.65,0.32,0.55,0.74,0.86,1.04,1.04,PILL
0.22,0.53,0.49,0.64,0.32,0.54,0.74,0.85,1.03,1.07,PILL
0.22,0.53,0.49,0.62,0.32,0.52,0.74,0.82,0.99,1.06,PILL
0.22,0.53,0.49,0.61,0.32,0.5,0.74,0.8,0.94,1.02,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.74,0.79,0.9,0.97,PILL
0.22,0.54,0.49,0.6,0.32,0.49,0.74,0.78,0.87,0.94,PILL
0.22,0.54,0.49,0.61,0.32,0.49,0.74,0.78,0.86,0.89,PILL
0.22,0.53,0.49,0.63,0.32,0.5,0.74,0.8,0.87,0.87,PILL
0.22,0.53,0.49,0.65,0.32,0.53,0.74,0.83,0.92,0.88,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.85,0.99,0.94,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.74,0.86,1.03,1,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1.03,1.02,PILL
0.22,0.54,0.49,0.65,0.32,0.55,0.74,0.86,1.04,1.05,PILL
0.22,0.53,0.49,0.64,0.32,0.54,0.74,0.85,1.03,1.07,PILL
0.22,0.53,0.49,0.62,0.32,0.52,0.74,0.82,0.99,1.06,PILL
0.22,0.53,0.49,0.61,0.32,0.5,0.74,0.8,0.93,1.01,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.74,0.79,0.9,0.97,PILL
0.22,0.53,0.49,0.61,0.33,0.49,0.74,0.78,0.87,0.93,PILL
0.22,0.53,0.49,0.62,0.32,0.49,0.74,0.78,0.87,0.89,PILL
0.22,0.53,0.49,0.64,0.32,0.51,0.74,0.8,0.88,0.87,PILL
0.22,0.53,0.49,0.65,0.33,0.53,0.74,0.83,0.93,0.89,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1,0.95,PILL
0.22,0.54,0.49,0.66,0.32,0.55,0.74,0.86,1.03,1,PILL
0.22,0.54,0.49,0.66,0.32,0.55,0.74,0.86,1.03,1.02,PILL
0.22,0.53,0.49,0.65,0.33,0.55,0.74,0.86,1.04,1.05,PILL
0.22,0.54,0.49,0.64,0.32,0.53,0.74,0.84,1.02,1.07,PILL
0.22,0.53,0.49,0.62,0.32,0.51,0.74,0.82,0.98,1.05,PILL
0.22,0.53,0.49,0.61,0.32,0.5,0.74,0.8,0.93,1,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.74,0.79,0.9,0.97,PILL
0.22,0.54,0.49,0.6,0.32,0.49,0.74,0.78,0.87,0.93,PILL
0.22,0.53,0.49,0.62,0.32,0.49,0.74,0.79,0.87,0.89,PILL
0.22,0.53,0.49,0.64,0.32,0.51,0.74,0.81,0.88,0.87,PILL
0.22,0.53,0.49,0.65,0.32,0.54,0.74,0.84,0.94,0.89,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1,0.96,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1.03,1,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.74,0.86,1.04,1.03,PILL
0.22,0.53,0.49,0.65,0.33,0.55,0.74,0.86,1.04,1.06,PILL
0.22,0.53,0.49,0.64,0.33,0.53,0.74,0.84,1.02,1.07,PILL
0.22,0.53,0.49,0.62,0.32,0.51,0.74,0.82,0.97,1.05,PILL
0.22,0.53,0.49,0.61,0.32,0.5,0.74,0.8,0.92,1,PILL
0.22,0.53,0.49,0.61,0.33,0.49,0.74,0.79,0.89,0.96,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.74,0.79,0.87,0.93,PILL
0.22,0.53,0.49,0.62,0.32,0.49,0.74,0.79,0.87,0.88,PILL
0.22,0.53,0.49,0.64,0.33,0.51,0.75,0.81,0.89,0.87,PILL
0.22,0.53,0.49,0.65,0.33,0.54,0.74,0.84,0.95,0.9,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.75,0.86,1.01,0.97,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.74,0.86,1.03,1.01,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.86,1.04,1.03,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.74,0.86,1.04,1.06,PILL
0.22,0.53,0.49,0.63,0.33,0.53,0.74,0.84,1.02,1.07,PILL
0.22,0.53,0.49,0.62,0.33,0.51,0.74,0.81,0.96,1.04,PILL
0.22,0.53,0.49,0.61,0.32,0.5,0.74,0.8,0.92,0.99,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.89,0.96,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.87,0.92,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.75,0.79,0.87,0.88,PILL
0.22,0.53,0.49,0.64,0.32,0.52,0.75,0.81,0.9,0.87,PILL
0.22,0.53,0.49,0.65,0.33,0.54,0.75,0.85,0.96,0.91,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1.02,0.97,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.86,1.03,1.01,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1.04,1.03,PILL
0.22,0.53,0.49,0.65,0.33,0.55,0.75,0.86,1.04,1.06,PILL
0.22,0.53,0.49,0.63,0.33,0.53,0.75,0.84,1.01,1.07,PILL
0.22,0.53,0.49,0.62,0.33,0.51,0.75,0.81,0.96,1.03,PILL
0.22,0.53,0.49,0.61,0.33,0.5,0.75,0.8,0.92,0.99,PILL
0.22,0.53,0.49,0.61,0.33,0.49,0.75,0.79,0.89,0.95,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.87,0.92,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.75,0.79,0.87,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.52,0.75,0.82,0.9,0.87,PILL
0.22,0.54,0.49,0.66,0.33,0.54,0.75,0.85,0.97,0.92,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1.02,0.98,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1.03,1.01,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.86,1.04,1.04,PILL
0.22,0.53,0.49,0.65,0.33,0.54,0.75,0.86,1.04,1.07,PILL
0.22,0.53,0.49,0.63,0.33,0.52,0.75,0.83,1.01,1.07,PILL
0.22,0.54,0.49,0.62,0.33,0.51,0.75,0.81,0.95,1.03,PILL
0.22,0.53,0.49,0.61,0.33,0.5,0.75,0.8,0.91,0.99,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.89,0.95,PILL
0.22,0.53,0.49,0.61,0.33,0.49,0.75,0.79,0.87,0.91,PILL
0.22,0.54,0.49,0.63,0.33,0.5,0.75,0.8,0.87,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.53,0.75,0.82,0.91,0.88,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.85,0.98,0.93,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.86,1.02,0.99,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1.03,1.02,PILL
0.22,0.53,0.49,0.65,0.33,0.55,0.75,0.86,1.04,1.04,PILL
0.22,0.53,0.49,0.65,0.33,0.54,0.75,0.85,1.04,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.52,0.75,0.83,1,1.06,PILL
0.22,0.53,0.49,0.62,0.33,0.5,0.75,0.81,0.94,1.02,PILL
0.22,0.53,0.49,0.61,0.33,0.5,0.75,0.8,0.91,0.98,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.88,0.94,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.87,0.9,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.75,0.8,0.87,0.87,PILL
0.22,0.53,0.49,0.65,0.33,0.53,0.75,0.83,0.92,0.88,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,0.99,0.94,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1.03,1,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.86,1.04,1.02,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.75,0.86,1.04,1.05,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.75,0.85,1.03,1.07,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.75,0.83,0.99,1.06,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.75,0.81,0.94,1.02,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.8,0.91,0.98,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.88,0.94,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.87,0.9,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.75,0.8,0.88,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.53,0.75,0.83,0.93,0.89,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1,0.95,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.87,1.03,1,PILL
0.22,0.53,0.49,0.66,0.33,0.55,0.75,0.86,1.04,1.02,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.75,0.86,1.04,1.05,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.75,0.85,1.03,1.07,PILL
0.22,0.53,0.49,0.62,0.33,0.52,0.75,0.83,0.99,1.06,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.75,0.81,0.94,1.01,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.8,0.9,0.97,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.75,0.79,0.88,0.94,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.87,0.89,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.75,0.81,0.88,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.54,0.75,0.84,0.94,0.89,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.86,1,0.96,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.87,1.03,1,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.75,0.86,1.04,1.03,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.75,0.86,1.04,1.06,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.75,0.85,1.03,1.07,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.75,0.82,0.98,1.05,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.75,0.8,0.93,1.01,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.8,0.9,0.97,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.75,0.79,0.88,0.93,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.87,0.89,PILL
0.22,0.54,0.49,0.64,0.33,0.51,0.75,0.81,0.89,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.54,0.75,0.85,0.95,0.9,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.87,1.01,0.97,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.87,1.03,1.01,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.75,0.86,1.04,1.03,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.75,0.86,1.04,1.06,PILL
0.22,0.54,0.49,0.63,0.33,0.53,0.75,0.85,1.02,1.07,PILL
0.22,0.54,0.49,0.62,0.33,0.51,0.75,0.82,0.97,1.05,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.75,0.81,0.92,1,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.8,0.9,0.97,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.75,0.79,0.88,0.93,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.75,0.8,0.87,0.89,PILL
0.22,0.54,0.49,0.64,0.33,0.52,0.75,0.82,0.9,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.54,0.75,0.85,0.96,0.91,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.87,1.02,0.98,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.75,0.87,1.04,1.01,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.75,0.87,1.04,1.04,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.75,0.86,1.04,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.53,0.75,0.85,1.02,1.07,PILL
0.22,0.54,0.49,0.62,0.33,0.51,0.75,0.82,0.97,1.04,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.75,0.8,0.92,1,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.8,0.9,0.96,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.75,0.79,0.88,0.92,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.75,0.8,0.87,0.88,PILL
0.22,0.54,0.49,0.64,0.33,0.52,0.76,0.82,0.91,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.76,0.85,0.97,0.92,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.76,0.87,1.02,0.98,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.75,0.87,1.04,1.02,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.04,1.04,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.76,0.86,1.04,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.53,0.76,0.84,1.01,1.07,PILL
0.22,0.54,0.49,0.61,0.33,0.51,0.75,0.82,0.96,1.04,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.81,0.92,0.99,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.75,0.8,0.89,0.96,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.79,0.88,0.92,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.76,0.8,0.87,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.53,0.76,0.83,0.91,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.76,0.86,0.98,0.93,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.76,0.87,1.03,0.99,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.02,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.04,1.04,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.76,0.86,1.04,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.53,0.76,0.84,1.01,1.07,PILL
0.22,0.54,0.49,0.62,0.33,0.51,0.76,0.82,0.96,1.03,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.8,0.92,0.99,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.76,0.8,0.89,0.96,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.79,0.88,0.92,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.76,0.8,0.88,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.53,0.76,0.83,0.92,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.76,0.86,0.98,0.93,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.76,0.87,1.03,0.99,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.04,1.02,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.04,1.05,PILL
0.22,0.54,0.49,0.64,0.33,0.55,0.76,0.86,1.04,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.53,0.76,0.84,1.01,1.07,PILL
0.22,0.54,0.49,0.61,0.33,0.51,0.76,0.82,0.95,1.03,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.81,0.92,0.99,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.76,0.8,0.89,0.95,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.8,0.87,0.91,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.76,0.81,0.88,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.53,0.76,0.84,0.92,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.76,0.86,0.99,0.94,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.03,1,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.02,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.05,1.05,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.76,0.86,1.04,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.76,0.84,1,1.07,PILL
0.22,0.54,0.49,0.61,0.33,0.51,0.76,0.82,0.95,1.02,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.81,0.91,0.98,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.8,0.89,0.95,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.8,0.87,0.91,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.76,0.81,0.88,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.53,0.76,0.84,0.93,0.89,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.76,0.87,1,0.95,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.03,1,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.03,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.05,1.05,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.76,0.86,1.04,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.76,0.84,1,1.06,PILL
0.22,0.54,0.49,0.61,0.33,0.51,0.76,0.81,0.94,1.02,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.8,0.91,0.98,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.8,0.89,0.94,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.8,0.87,0.9,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.76,0.81,0.89,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.54,0.76,0.85,0.94,0.89,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.76,0.87,1,0.96,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.01,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.03,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.05,1.06,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.76,0.86,1.04,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.76,0.83,0.99,1.06,PILL
0.22,0.54,0.49,0.61,0.33,0.51,0.76,0.81,0.94,1.02,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.8,0.91,0.98,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.76,0.8,0.89,0.94,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.8,0.87,0.9,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.76,0.82,0.89,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.54,0.76,0.85,0.95,0.9,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.76,0.87,1.01,0.96,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.01,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.03,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.05,1.06,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.76,0.86,1.03,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.76,0.83,0.99,1.06,PILL
0.22,0.54,0.49,0.61,0.33,0.51,0.76,0.81,0.94,1.01,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.81,0.91,0.98,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.76,0.8,0.89,0.94,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.76,0.8,0.87,0.9,PILL
0.22,0.54,0.49,0.63,0.33,0.51,0.76,0.82,0.89,0.87,PILL
0.22,0.54,0.49,0.65,0.33,0.54,0.76,0.85,0.95,0.9,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.76,0.87,1.01,0.97,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.04,1.01,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.76,0.87,1.05,1.04,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.76,0.87,1.05,1.06,PILL
0.22,0.54,0.49,0.64,0.33,0.54,0.76,0.86,1.03,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.76,0.83,0.99,1.06,PILL
0.22,0.54,0.49,0.61,0.33,0.51,0.76,0.81,0.93,1.01,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.76,0.81,0.91,0.97,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.76,0.8,0.89,0.94,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.76,0.8,0.87,0.89,PILL
0.22,0.54,0.49,0.64,0.33,0.52,0.76,0.82,0.9,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.54,0.77,0.86,0.96,0.91,PILL
0.22,0.54,0.49,0.66,0.33,0.55,0.76,0.87,1.02,0.97,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.87,1.04,1.02,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.87,1.05,1.04,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.77,0.87,1.05,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.54,0.77,0.86,1.03,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.77,0.83,0.98,1.05,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.77,0.82,0.93,1.01,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.77,0.81,0.9,0.97,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.77,0.8,0.89,0.94,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.77,0.81,0.88,0.89,PILL
0.22,0.54,0.49,0.64,0.33,0.52,0.77,0.83,0.9,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.77,0.86,0.96,0.91,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.87,1.02,0.98,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.87,1.04,1.02,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.87,1.05,1.04,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.77,0.87,1.05,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.54,0.77,0.86,1.03,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.77,0.83,0.98,1.05,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.77,0.82,0.93,1.01,PILL
0.22,0.54,0.49,0.6,0.33,0.5,0.77,0.81,0.9,0.97,PILL
0.22,0.54,0.49,0.6,0.33,0.49,0.77,0.8,0.88,0.93,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.77,0.81,0.87,0.89,PILL
0.22,0.54,0.49,0.64,0.33,0.52,0.77,0.83,0.91,0.88,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.77,0.86,0.97,0.92,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.88,1.03,0.98,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.88,1.05,1.02,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.87,1.05,1.05,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.77,0.87,1.05,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.54,0.77,0.86,1.03,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.52,0.77,0.83,0.98,1.05,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.77,0.82,0.93,1.01,PILL
0.22,0.54,0.49,0.6,0.33,0.5,0.77,0.81,0.9,0.97,PILL
0.22,0.54,0.49,0.61,0.34,0.49,0.77,0.81,0.89,0.93,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.77,0.81,0.88,0.89,PILL
0.22,0.54,0.49,0.64,0.33,0.52,0.77,0.83,0.91,0.88,PILL
0.22,0.54,0.49,0.65,0.34,0.55,0.77,0.86,0.97,0.92,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.88,1.03,0.99,PILL
0.22,0.54,0.49,0.66,0.34,0.56,0.77,0.87,1.05,1.02,PILL
0.22,0.54,0.49,0.65,0.33,0.56,0.77,0.87,1.05,1.04,PILL
0.22,0.54,0.49,0.65,0.33,0.55,0.77,0.87,1.05,1.07,PILL
0.22,0.54,0.49,0.63,0.33,0.54,0.77,0.86,1.03,1.08,PILL
0.22,0.54,0.49,0.62,0.33,0.51,0.77,0.83,0.97,1.05,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.77,0.82,0.93,1,PILL
0.22,0.54,0.49,0.61,0.33,0.5,0.77,0.81,0.9,0.97,PILL
0.22,0.54,0.49,0.61,0.33,0.49,0.77,0.81,0.89,0.93,PILL
0.22,0.54,0.49,0.62,0.33,0.5,0.77,0.81,0.88,0.89,PILL
0.22,0.54,0.49,0.64,0.34,0.53,0.77,0.84,0.92,0.88,PILL
0.22,0.54,0.49,0.65,0.34,0.55,0.77,0.87,0.98,0.93,PILL
0.22,0.54,0.49,0.66,0.33,0.56,0.77,0.88,1.03,0.99,PILL
0.22,0.54,0.49,0.65,0.34,0.56,0.77,0.88,1.05,1.02,PILL
0.22,0.54,0.49,0.65,0.34,0.56,0.77,0.88,1.05,1.05,PILL
0.22,0.54,0.49,0.65,0.34,0.55,0.77,0.87,1.05,1.08,PILL
